,id,Name,Sequence ID,Province name,Class_label,Start time,End time,Duration,Temporal context start,Temporal context end,Actual temporal context duration,Week6_Covid,Week5_Covid,Week4_Covid,Week3_Covid,Week2_Covid,Week1_Covid,Week6_Mobility,Week5_Mobility,Week4_Mobility,Week3_Mobility,Week2_Mobility,Week1_Mobility,Week5_Covid_encoded,Week3_Covid_encoded,Covid_trend,Days_passed
71,06_c2_1_22/03/2021..28/03/2021,,6,Badajoz,c2,22/03/2021,28/03/2021,7,8/2/2021,22/03/2021,42,c3,c2,c2,c2,c2,c3,m3,m3,m3,m4,m4,m3,2,2,S,399.0
72,06_c2_2_26/04/2021_09/05/2021,,6,Badajoz,c2,26/04/2021,9/5/2021,14,15/03/2021,26/04/2021,42,c3,c2,c3,c3,c3,c3,m3,m4,m3,m4,m4,m4,2,3,I,434.0
73,06_c3_8_24/08/2020_18/10/2020,,6,Badajoz,c3,24/08/2020,18/10/2020,56,13/07/2020,24/08/2020,42,c1,c1,c2,c2,c2,c2,m3,m3,m3,m3,m3,m3,1,2,I,189.0
74,06_c3_5_16/11/2020_20/12/2020,,6,Badajoz,c3,16/11/2020,20/12/2020,35,5/10/2020,16/11/2020,42,c3,c3,c4,c4,c4,c4,m4,m3,m3,m3,m3,m3,3,4,I,273.0
75,06_c3_2_01/02/2021_14/02/2021,,6,Badajoz,c3,1/2/2021,14/02/2021,14,21/12/2020,1/2/2021,42,c4,c4,c4,c4,c4,c4,m3,m2,m2,m2,m2,m2,4,4,S,350.0
76,06_c3_1_15/03/2021..21/03/2021,,6,Badajoz,c3,15/03/2021,21/03/2021,7,1/2/2021,15/03/2021,42,c3,c3,c2,c2,c2,c2,m2,m3,m3,m3,m4,m4,3,2,D,392.0
77,06_c3_4_29/03/2021_25/04/2021,,6,Badajoz,c3,29/03/2021,25/04/2021,28,15/02/2021,29/03/2021,42,c2,c2,c2,c2,c3,c2,m3,m3,m4,m4,m3,m4,2,2,S,406.0
78,06_c4_4_19/10/2020_15/11/2020,,6,Badajoz,c4,19/10/2020,15/11/2020,28,7/9/2020,19/10/2020,42,c3,c3,c3,c3,c3,c3,m3,m3,m3,m3,m4,m3,3,3,S,245.0
79,06_c4_6_21/12/2020_31/01/2021,,6,Badajoz,c4,21/12/2020,31/01/2021,42,9/11/2020,21/12/2020,42,c4,c3,c3,c3,c3,c3,m3,m4,m3,m4,m3,m4,3,3,S,308.0
89,08_c1_4_01/06/2020_28/06/2020,,8,Barcelona,c1,1/6/2020,28/06/2020,28,20/04/2020,1/6/2020,42,c2,c2,c2,c2,c2,c2,m1,m1,m1,m1,m1,m2,2,2,S,105.0
91,08_c2_6_20/04/2020_31/05/2020,,8,Barcelona,c2,20/04/2020,31/05/2020,42,9/3/2020,20/04/2020,42,c3,c3,c3,c3,c3,c3,m4,m1,m1,m1,m1,m1,3,3,S,63.0
92,08_c2_2_29/06/2020_12/07/2020,,8,Barcelona,c2,29/06/2020,12/7/2020,14,18/05/2020,29/06/2020,42,c2,c2,c1,c1,c1,c1,m1,m2,m2,m2,m2,m2,2,1,D,133.0
94,08_c3_12_13/07/2020_04/10/2020,,8,Barcelona,c3,13/07/2020,4/10/2020,84,1/6/2020,13/07/2020,42,c1,c1,c1,c1,c2,c2,m2,m2,m2,m2,m3,m3,1,1,S,147.0
95,08_c3_5_16/11/2020_20/12/2020,,8,Barcelona,c3,16/11/2020,20/12/2020,35,5/10/2020,16/11/2020,42,c4,c4,c4,c4,c4,c4,m3,m2,m2,m2,m2,m2,4,4,S,273.0
96,08_c3_13_08/02/2021_09/05/2021,,8,Barcelona,c3,8/2/2021,9/5/2021,91,28/12/2020,8/2/2021,42,c4,c4,c4,c4,c4,c4,m2,m2,m2,m2,m2,m2,4,4,S,357.0
97,08_c4_6_05/10/2020_15/11/2020,,8,Barcelona,c4,5/10/2020,15/11/2020,42,24/08/2020,5/10/2020,42,c3,c3,c3,c3,c3,c3,m2,m2,m2,m3,m3,m3,3,3,S,231.0
98,08_c4_7_21/12/2020_07/02/2021,,8,Barcelona,c4,21/12/2020,7/2/2021,49,9/11/2020,21/12/2020,42,c4,c3,c3,c3,c3,c3,m2,m2,m3,m3,m2,m3,3,3,S,308.0
100,09_c1_11_04/05/2020_19/07/2020,,9,Burgos,c1,4/5/2020,19/07/2020,77,23/03/2020,4/5/2020,42,c3,c3,c3,c3,c2,c2,m1,m1,m1,m1,m1,m1,3,3,S,77.0
102,09_c2_2_20/04/2020_03/05/2020,,9,Burgos,c2,20/04/2020,3/5/2020,14,9/3/2020,20/04/2020,42,c3,c3,c3,c3,c3,c3,m4,m1,m1,m1,m1,m1,3,3,S,63.0
103,09_c2_2_20/07/2020_02/08/2020,,9,Burgos,c2,20/07/2020,2/8/2020,14,8/6/2020,20/07/2020,42,c1,c1,c1,c1,c1,c1,m3,m3,m3,m3,m3,m3,1,1,S,154.0
105,09_c3_5_03/08/2020_06/09/2020,,9,Burgos,c3,3/8/2020,6/9/2020,35,22/06/2020,3/8/2020,42,c1,c1,c1,c1,c2,c2,m3,m3,m3,m3,m3,m3,1,1,S,168.0
106,09_c3_4_07/12/2020_03/01/2021,,9,Burgos,c3,7/12/2020,3/1/2021,28,26/10/2020,7/12/2020,42,c4,c4,c4,c4,c4,c4,m3,m3,m3,m2,m2,m2,4,4,S,294.0
107,09_c3_13_08/02/2021_09/05/2021,,9,Burgos,c3,8/2/2021,9/5/2021,91,28/12/2020,8/2/2021,42,c3,c4,c4,c4,c4,c4,m1,m1,m1,m1,m1,m1,4,4,S,357.0
108,09_c4_13_07/09/2020_06/12/2020,,9,Burgos,c4,7/9/2020,6/12/2020,91,27/07/2020,7/9/2020,42,c2,c3,c3,c3,c3,c3,m3,m3,m3,m3,m3,m3,3,3,S,203.0
109,09_c4_5_04/01/2021_07/02/2021,,9,Burgos,c4,4/1/2021,7/2/2021,35,23/11/2020,4/1/2021,42,c4,c4,c3,c3,c3,c3,m2,m2,m1,m2,m1,m1,4,3,D,322.0
111,10_c1_13_04/05/2020_02/08/2020,,10,C ceres,c1,4/5/2020,2/8/2020,91,23/03/2020,4/5/2020,42,c3,c3,c2,c2,c2,c2,m1,m1,m1,m1,m1,m1,3,2,D,77.0
112,10_c2_4_06/04/2020_03/05/2020,,10,C ceres,c2,6/4/2020,3/5/2020,28,24/02/2020,6/4/2020,42,c1,c1,c3,c3,c3,c3,m4,m4,m4,m1,m1,m1,1,3,I,49.0
113,10_c2_2_03/08/2020_16/08/2020,,10,C ceres,c2,3/8/2020,16/08/2020,14,22/06/2020,3/8/2020,42,c1,c1,c1,c1,c1,c1,m3,m3,m3,m4,m3,m3,1,1,S,168.0
114,10_c2_6_08/02/2021_21/03/2021,,10,C ceres,c2,8/2/2021,21/03/2021,42,28/12/2020,8/2/2021,42,c4,c4,c4,c4,c4,c3,m2,m2,m2,m2,m2,m2,4,4,S,357.0
115,10_c2_1_19/04/2021..25/04/2021,,10,C ceres,c2,19/04/2021,25/04/2021,7,8/3/2021,19/04/2021,42,c2,c2,c3,c3,c3,c3,m4,m3,m4,m3,m4,m4,2,3,I,427.0
116,10_c2_1_03/05/2021..09/05/2021,,10,C ceres,c2,3/5/2021,9/5/2021,7,22/03/2021,3/5/2021,42,c3,c3,c3,c3,c2,c3,m4,m3,m4,m4,m3,m4,3,3,S,441.0
118,10_c3_9_17/08/2020_18/10/2020,,10,C ceres,c3,17/08/2020,18/10/2020,63,6/7/2020,17/08/2020,42,c1,c1,c1,c1,c2,c2,m3,m4,m3,m3,m4,m3,1,1,S,182.0
119,10_c3_5_09/11/2020_13/12/2020,,10,C ceres,c3,9/11/2020,13/12/2020,35,28/09/2020,9/11/2020,42,c3,c3,c3,c4,c4,c4,m3,m4,m3,m3,m3,m3,3,4,I,266.0
120,10_c3_1_01/02/2021..07/02/2021,,10,C ceres,c3,1/2/2021,7/2/2021,7,21/12/2020,1/2/2021,42,c4,c4,c4,c4,c4,c4,m2,m2,m2,m2,m2,m2,4,4,S,350.0
121,10_c3_4_22/03/2021_18/04/2021,,10,C ceres,c3,22/03/2021,18/04/2021,28,8/2/2021,22/03/2021,42,c2,c2,c2,c2,c2,c2,m3,m3,m3,m4,m4,m3,2,2,S,399.0
122,10_c3_1_26/04/2021..02/05/2021,,10,C ceres,c3,26/04/2021,2/5/2021,7,15/03/2021,26/04/2021,42,c2,c3,c3,c3,c3,c2,m3,m4,m3,m4,m4,m3,3,3,S,434.0
123,10_c4_3_19/10/2020_08/11/2020,,10,C ceres,c4,19/10/2020,8/11/2020,21,7/9/2020,19/10/2020,42,c3,c3,c3,c3,c3,c3,m3,m3,m3,m3,m4,m3,3,3,S,245.0
124,10_c4_7_14/12/2020_31/01/2021,,10,C ceres,c4,14/12/2020,31/01/2021,49,2/11/2020,14/12/2020,42,c4,c3,c3,c3,c3,c3,m3,m4,m4,m3,m3,m3,3,3,S,301.0
126,11_c1_17_06/04/2020_02/08/2020,,11,C diz,c1,6/4/2020,2/8/2020,119,24/02/2020,6/4/2020,42,c1,c1,c2,c2,c2,c2,m4,m4,m4,m1,m1,m1,1,2,I,49.0
128,11_c2_3_03/08/2020_23/08/2020,,11,C diz,c2,3/8/2020,23/08/2020,21,22/06/2020,3/8/2020,42,c1,c1,c1,c1,c1,c1,m4,m4,m4,m4,m4,m4,1,1,S,168.0
